collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,100,sparseonly,colbert,0.84,0.4384,0.5393,43.49,126.47,155.33,65.7
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,25,sparseonly,colbert,0.86,0.5221,0.6052,39.0,46.77,102.08,66.09
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,50,sparseonly,colbert,0.89,0.4716,0.5753,41.59,52.51,79.84,65.9
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,100,sparseonly,colbert,0.89,0.4913,0.5894,43.44,51.62,55.3,66.13
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,25,sparseonly,cross-encoder,0.86,0.4666,0.5634,1251.54,3284.71,3694.64,0.57
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,50,sparseonly,cross-encoder,0.89,0.4941,0.591,2962.28,6405.33,6612.33,0.26
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,100,sparseonly,cross-encoder,0.85,0.4551,0.5526,6748.62,12556.38,12816.45,0.13
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,25,sparseonly,cross-encoder,0.87,0.4674,0.566,1700.51,3172.34,3305.36,0.53
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,50,sparseonly,cross-encoder,0.91,0.4955,0.5961,3866.01,6458.79,6611.45,0.25
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,100,sparseonly,cross-encoder,0.91,0.4593,0.5679,7820.04,12515.72,12786.74,0.12
scifact_float16_noquant,../qdrant-load/configs/scifact/config_float16_noquant.yml,10,25,hybrid,colbert,0.87,0.4832,0.5794,41.66,48.86,65.25,59.03
