collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,25,sparseonly,cross-encoder,0.876,0.6757,0.7249,394.59,949.59,1114.6,1.92
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1149.16,2192.35,2573.14,0.84
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2394.82,4039.96,4705.77,0.43
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,25,sparseonly,cross-encoder,0.882,0.6762,0.7265,562.53,989.69,1126.53,1.98
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,1128.55,2117.53,2516.92,0.85
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,2316.24,4075.89,4535.93,0.43
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,25,hybrid,colbert,0.946,0.7151,0.7717,38.59,45.28,86.78,62.27
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,50,hybrid,colbert,0.952,0.7138,0.772,38.88,45.67,71.74,63.01
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,100,hybrid,colbert,0.954,0.7137,0.7723,39.6,44.83,50.08,62.64
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,25,hybrid,colbert,0.96,0.7162,0.7754,89.7,100.46,109.08,62.9
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,50,hybrid,colbert,0.97,0.7152,0.7767,90.02,101.07,109.09,60.16
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,100,hybrid,colbert,0.968,0.7148,0.776,90.43,108.67,190.0,62.51
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,25,hybrid,cross-encoder,0.95,0.7145,0.7721,335.23,830.91,980.07,2.2
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,50,hybrid,cross-encoder,0.956,0.7162,0.7748,983.69,2137.69,2415.65,0.87
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,100,hybrid,cross-encoder,0.954,0.7161,0.7742,2241.89,3991.63,4477.23,0.43
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,25,hybrid,cross-encoder,0.96,0.7152,0.7747,465.99,909.69,1082.26,2.0
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,50,hybrid,cross-encoder,0.97,0.7172,0.7784,1042.73,2103.83,2442.08,0.88
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,20,100,hybrid,cross-encoder,0.974,0.7175,0.7793,2072.57,4039.85,4517.65,0.43
test_float16_noquant,../qdrant-load/configs/config_float16_noquant.yml,10,25,hybrid,rrf,0.934,0.6497,0.7186,25.91,29.14,30.9,290.56
